#Gen	m	ibd	hibd	ko	ke	s2	thke	Nke	Nbke	lethal	hoDel	he	hoDom	Nobs
112	0	0.01	0.0325	243	106.393	137.793	105.393	219559	38017.9	0	0	0	2000	10000
112	1	0.01	0.0275	248	102.235	137.793	101.235	210898	36518.1	0	0	0	2000	10000
113	0	0.01	0.0345	238	104.178	145.197	103.178	214944	39218.7	0	0	1	1999	10000
113	1	0.0105	0.0325	241	101.35	145.197	100.35	209055	38144.1	0	0	0	2000	10000
114	0	0.0065	0.026	230	103.728	147.617	102.728	214007	39698.6	0	0	1	1999	10000
114	1	0.0055	0.0285	242	101.425	147.617	100.425	209210	38808.7	0	0	0	2000	10000
115	0	0.0065	0.022	235	104.399	135.895	103.399	215406	36785	1	0	0	2000	10000
115	1	0.007	0.0305	241	100.875	135.895	99.8751	208064	35531.3	1	0	0	2000	10000
116	0	0.01	0.0305	240	106.091	128.306	105.091	218930	35299.1	0	0	0	2000	10000
116	1	0.0085	0.031	237	107.213	128.306	106.213	221267	35675.9	0	0	0	2000	10000
117	0	0.011	0.032	238	105.767	135.893	104.767	218255	37271.1	0	0	1	1999	10000
117	1	0.0105	0.0315	239	103.875	135.893	102.875	214313	36597.9	0	0	0	2000	10000
118	0	0.007	0.025	234	105.05	143.813	104.05	216762	39173.5	0	0	2	1998	10000
118	1	0.009	0.0335	233	103.486	143.813	102.486	213504	38584.7	0	0	0	2000	10000
119	0	0.012	0.0305	229	102.789	146.161	101.789	212052	38947.9	0	0	3	1997	10000
119	1	0.011	0.03	228	100.473	146.161	99.4735	207228	38061.7	0	0	0	2000	10000
120	0	0.0055	0.0245	226	103.923	158.635	102.923	214414	42742.6	0	0	2	1998	10000
120	1	0.0045	0.027	235	106.885	158.635	105.885	220584	43972.5	0	0	0	2000	10000
121	0	0.008	0.0285	223	102.345	147.801	101.345	211126	39212.9	0	0	2	1998	10000
121	1	0.0095	0.0295	228	108.73	147.801	107.73	224427	41683.3	0	0	0	2000	10000
122	0	0.0085	0.0255	224	100.3	152.412	99.2996	206865	39620.3	0	0	2	1998	10000
122	1	0.0095	0.0265	234	112.412	152.412	111.412	232098	44452.9	0	0	0	2000	10000
123	0	0.0075	0.026	219	99.5855	134.007	98.5855	205378	34585.1	0	0	1	1999	10000
123	1	0.009	0.0315	230	111.674	134.007	110.674	230561	38826	0	0	0	2000	10000
124	0	0.0085	0.031	219	93.1294	141.22	92.1294	191928	34059.9	0	0	0	2000	10000
124	1	0.0105	0.0285	228	109.972	141.22	108.972	227015	40286.5	0	0	0	2000	10000
125	0	0.011	0.026	220	93.5815	130.671	92.5815	192870	31670.5	0	0	2	1998	10000
125	1	0.011	0.034	220	110.77	130.671	109.77	228677	37550.2	0	0	0	2000	10000
126	0	0.008	0.0305	221	93.0557	147.655	92.0557	191775	35583.5	0	0	1	1999	10000
126	1	0.006	0.025	225	108.026	147.655	107.026	222962	41370.3	0	0	0	2000	10000
127	0	0.008	0.027	213	89.3635	128.418	88.3635	184083	29706.4	0	0	0	2000	10000
127	1	0.007	0.031	221	109.082	128.418	108.082	225162	36335.7	0	0	0	2000	10000
128	0	0.005	0.031	212	86.8423	120.661	85.8423	178831	27115.5	0	0	0	2000	10000
128	1	0.009	0.0365	218	101.149	120.661	100.149	208636	31634.7	0	0	0	2000	10000
129	0	0.007	0.0295	210	85.3479	133.282	84.3479	175717	29430.4	0	0	0	2000	10000
129	1	0.007	0.0345	222	100.996	133.282	99.9961	208316	34890.3	0	0	0	2000	10000
130	0	0.0085	0.0275	208	87.6165	141.175	86.6165	180443	32011.7	0	0	0	2000	10000
130	1	0.0095	0.027	224	104.985	141.175	103.985	216627	38431	0	0	0	2000	10000
131	0	0.006	0.024	209	87.3467	151.638	86.3467	179881	34277.2	0	0	1	1999	10000
131	1	0.006	0.026	228	105.495	151.638	104.495	217689	41481.6	0	0	0	2000	10000
132	0	0.0075	0.0315	208	89.1365	141.824	88.1365	183610	32723.2	0	0	3	1997	10000
132	1	0.008	0.0275	224	105.787	141.824	104.787	218296	38905	0	0	0	2000	10000
133	0	0.0055	0.032	208	91.6674	130.191	90.6674	188882	30901.6	0	0	1	1999	10000
133	1	0.0095	0.03	219	105.573	130.191	104.573	217851	35640.9	0	0	0	2000	10000
134	0	0.012	0.035	208	90.3894	136.827	89.3894	186220	32019.1	0	0	2	1998	10000
134	1	0.007	0.028	219	103.327	136.827	102.327	213172	36653.4	0	0	0	2000	10000
135	0	0.0065	0.028	205	89.4835	141.557	88.4835	184333	32790.2	0	0	4	1996	10000
135	1	0.0065	0.0265	219	106.868	141.557	105.868	220548	39232.4	0	0	0	2000	10000
136	0	0.0055	0.024	201	88.7636	134.872	87.7636	182833	30987.4	0	0	5	1995	10000
136	1	0.008	0.022	223	108.522	134.872	107.522	223994	37963.5	0	0	0	2000	10000
137	0	0.0075	0.0295	202	89.0393	134.466	88.0393	183407	30991.3	1	0	2	1998	10000
137	1	0.0075	0.029	221	104.648	134.466	103.648	215923	36485.8	1	0	0	2000	10000
138	0	0.008	0.031	206	91.4453	156.241	90.4453	188420	36994	0	0	3	1997	10000
138	1	0.0095	0.023	217	109.246	156.241	108.246	225504	44275.1	0	0	0	2000	10000
139	0	0.0075	0.0305	200	91.5625	137.012	90.5625	188664	32483	1	0	4	1996	10000
139	1	0.008	0.028	216	108.792	137.012	107.792	224557	38662.8	1	0	0	2000	10000
140	0	0.008	0.0315	203	92.3713	139.612	91.3713	190349	33395	2	0	3	1997	10000
140	1	0.0045	0.033	214	106.752	139.612	105.752	220307	38651	2	0	0	2000	10000
141	0	0.0055	0.031	202	92.8829	134.307	91.8829	191414	32306	0	0	6	1994	10000
141	1	0.0085	0.032	212	104.187	134.307	103.187	214964	36280.5	0	0	0	2000	10000
142	0	0.007	0.0395	201	93.8923	141.917	92.8923	193517	34511.5	1	0	8	1992	10000
142	1	0.0105	0.0295	214	104.559	141.917	103.559	215738	38474.4	1	0	0	2000	10000
143	0	0.012	0.028	201	96.3507	143.33	95.3507	198639	35777.6	1	0	8	1992	10000
143	1	0.0105	0.028	212	102.869	143.33	101.869	212218	38223.3	1	0	0	2000	10000
144	0	0.008	0.0275	198	96.6849	152.176	95.6849	199335	38118.8	2	0	6	1994	10000
144	1	0.0085	0.0295	211	103.457	152.176	102.457	213442	40816.5	2	0	0	2000	10000
145	0	0.009	0.029	192	94.8058	154.718	93.8058	195420	37994.5	0	0	2	1998	10000
145	1	0.008	0.0355	213	102.824	154.718	101.824	212124	41242	0	0	0	2000	10000
146	0	0.007	0.0305	193	97.6908	146.001	96.6908	201431	36956.4	0	0	4	1996	10000
146	1	0.0095	0.0255	215	104.482	146.001	103.482	215579	39552.2	0	0	0	2000	10000
